state,year,labor_force,employed,unemployed
Alabama,1976,1501284,1399080,102204
Alabama,1977,1568504,1453781,114723
Alabama,1978,1621710,1518309,103401
Alabama,1979,1656358,1537596,118762
Alabama,1980,1669289,1521183,148106
Alabama,1981,1677652,1500534,177118
Alabama,1982,1716324,1474143,242181
Alabama,1983,1756953,1514551,242402
Alabama,1984,1788133,1591093,197040
Alabama,1985,1802728,1637751,164977
Alabama,1986,1861327,1680722,180605
Alabama,1987,1869005,1718107,150898
Alabama,1988,1877663,1742376,135287
Alabama,1989,1896227,1762813,133414
Alabama,1990,1907367,1778143,129224
Alabama,1991,1920555,1779490,141065
Alabama,1992,1965516,1816526,148990
Alabama,1993,2003905,1856754,147151
Alabama,1994,2026692,1900856,125836
Alabama,1995,2067444,1943878,123566
Alabama,1996,2086463,1977334,109129
Alabama,1997,2133573,2027064,106509
Alabama,1998,2136177,2042291,93886
Alabama,1999,2140296,2038889,101407
Alabama,2000,2133223,2035594,97629
Alabama,2001,2115401,2006884,108517
Alabama,2002,2106161,1981919,124242
Alabama,2003,2120225,1992732,127493
Alabama,2004,2136458,2014889,121569
Alabama,2005,2146025,2049791,96234
Alabama,2006,2167809,2080233,87576
Alabama,2007,2175612,2089127,86485
Alabama,2008,2176489,2053477,123012
Alabama,2009,2162999,1924747,238252
Alabama,2010,2196042,1964559,231483
Alabama,2011,2202670,1990413,212257
Alabama,2012,2176337,2003290,173047
Alabama,2013,2174000,2017043,156957
Alabama,2014,2160842,2014290,146552
Alabama,2015,2158293,2026898,131395
Alabama,2016,2177209,2049971,127238
Alabama,2017,2178243,2081676,96567
Alabama,2018,2198837,2112347,86490
Alabama,2019,2241747,2174483,67264
Alabama,2020,2229221,2082132,147090
Alaska,1976,163570,151190,12380
Alaska,1977,173013,155948,17065
Alaska,1978,182111,162730,19381
Alaska,1979,183807,166730,17077
Alaska,1980,187405,169397,18008
Alaska,1981,196157,177803,18354
Alaska,1982,212806,191699,21107
Alaska,1983,231721,208713,23008
Alaska,1984,245452,221308,24144
Alaska,1985,252127,227693,24434
Alaska,1986,255131,227228,27903
Alaska,1987,248599,223042,25557
Alaska,1988,248861,226968,21893
Alaska,1989,255617,237686,17931
Alaska,1990,268422,249038,19384
Alaska,1991,276276,252921,23355
Alaska,1992,287216,261624,25592
Alaska,1993,295432,272709,22723
Alaska,1994,302371,279471,22900
Alaska,1995,304160,281889,22271
Alaska,1996,309772,286252,23520
Alaska,1997,313217,290845,22372
Alaska,1998,315870,295823,20047
Alaska,1999,317943,297354,20589
Alaska,2000,319511,299146,20365
Alaska,2001,321393,300731,20662
Alaska,2002,326401,302580,23821
Alaska,2003,331669,305723,25946
Alaska,2004,336743,311643,25100
Alaska,2005,344559,320811,23748
Alaska,2006,349691,326542,23149
Alaska,2007,350785,328579,22206
Alaska,2008,356109,332285,23824
Alaska,2009,359647,331792,27855
Alaska,2010,361913,333416,28497
Alaska,2011,365913,338161,27752
Alaska,2012,365519,339474,26045
Alaska,2013,365292,339801,25491
Alaska,2014,365383,340302,25081
Alaska,2015,363396,339724,23672
Alaska,2016,362231,337369,24862
Alaska,2017,360759,335682,25077
Alaska,2018,356886,333375,23511
Alaska,2019,347779,326430,21349
Alaska,2020,340269,308528,31742
Arizona,1976,987060,890988,96072
Arizona,1977,1042116,956606,85510
Arizona,1978,1082446,1017179,65267
Arizona,1979,1152471,1093987,58484
Arizona,1980,1228001,1146371,81630
Arizona,1981,1271678,1192377,79301
Arizona,1982,1341767,1206118,135649
Arizona,1983,1386057,1264176,121881
Arizona,1984,1431770,1357616,74154
Arizona,1985,1487075,1392656,94419
Arizona,1986,1562728,1454740,107988
Arizona,1987,1618230,1513853,104377
Arizona,1988,1666073,1559871,106202
Arizona,1989,1718674,1627178,91496
Arizona,1990,1786186,1691876,94310
Arizona,1991,1805012,1697675,107337
Arizona,1992,1873606,1732327,141279
Arizona,1993,1949027,1824253,124774
Arizona,1994,2104125,1974779,129346
Arizona,1995,2229131,2109900,119231
Arizona,1996,2285205,2157966,127239
Arizona,1997,2308569,2202911,105658
Arizona,1998,2387027,2284323,102704
Arizona,1999,2473013,2363084,109929
Arizona,2000,2509883,2410581,99302
Arizona,2001,2585284,2461498,123786
Arizona,2002,2679421,2516006,163415
Arizona,2003,2736000,2578854,157146
Arizona,2004,2796269,2655428,140841
Arizona,2005,2883226,2748372,134854
Arizona,2006,2990441,2864385,126056
Arizona,2007,3034016,2917117,116899
Arizona,2008,3104863,2913903,190960
Arizona,2009,3128110,2817577,310533
Arizona,2010,3089705,2769454,320251
Arizona,2011,3037017,2748470,288547
Arizona,2012,3028878,2776349,252529
Arizona,2013,3029425,2794697,234728
Arizona,2014,3099884,2889380,210504
Arizona,2015,3166615,2974540,192075
Arizona,2016,3240590,3066011,174579
Arizona,2017,3327949,3165127,162822
Arizona,2018,3439755,3273550,166205
Arizona,2019,3551260,3384504,166756
Arizona,2020,3548522,3264891,283631
Arkansas,1976,891608,829394,62214
Arkansas,1977,930260,869982,60278
Arkansas,1978,952308,893511,58797
Arkansas,1979,984461,923371,61090
Arkansas,1980,998280,922894,75386
Arkansas,1981,1023163,933766,89397
Arkansas,1982,1024106,922554,101552
Arkansas,1983,1031664,930038,101626
Arkansas,1984,1042889,952014,90875
Arkansas,1985,1047947,956947,91000
Arkansas,1986,1067484,976138,91346
Arkansas,1987,1092247,1003871,88376
Arkansas,1988,1111749,1027345,84404
Arkansas,1989,1128467,1049579,78888
Arkansas,1990,1131830,1053833,77997
Arkansas,1991,1129518,1045529,83989
Arkansas,1992,1154527,1072508,82019
Arkansas,1993,1177924,1105538,72386
Arkansas,1994,1218426,1153107,65319
Arkansas,1995,1238738,1178835,59903
Arkansas,1996,1248668,1183048,65620
Arkansas,1997,1242594,1177521,65073
Arkansas,1998,1241352,1177122,64230
Arkansas,1999,1255032,1197320,57712
Arkansas,2000,1258301,1204695,53606
Arkansas,2001,1253456,1191273,62183
Arkansas,2002,1270997,1201422,69575
Arkansas,2003,1271696,1196299,75397
Arkansas,2004,1300318,1226123,74195
Arkansas,2005,1345913,1275448,70465
Arkansas,2006,1365410,1294906,70504
Arkansas,2007,1369284,1296572,72712
Arkansas,2008,1375257,1300017,75240
Arkansas,2009,1358911,1252399,106512
Arkansas,2010,1353338,1242496,110842
Arkansas,2011,1362682,1249514,113168
Arkansas,2012,1342753,1241127,101626
Arkansas,2013,1322576,1226859,95717
Arkansas,2014,1316506,1237248,79258
Arkansas,2015,1331631,1264538,67093
Arkansas,2016,1340002,1286875,53127
Arkansas,2017,1347630,1297652,49978
Arkansas,2018,1351496,1301459,50037
Arkansas,2019,1362642,1314290,48352
Arkansas,2020,1342410,1250589,91821
California,1976,9899372,8994291,905081
California,1977,10382340,9518343,863997
California,1978,10905557,10125077,780480
California,1979,11279488,10574856,704632
California,1980,11579052,10787673,791379
California,1981,11829789,10953612,876177
California,1982,12152372,10942811,1209561
California,1983,12293797,11090005,1203792
California,1984,12637075,11656587,980488
California,1985,12982818,12051618,931200
California,1986,13335690,12438577,897113
California,1987,13743990,12945765,798225
California,1988,14141442,13392506,748936
California,1989,14552934,13806871,746063
California,1990,15138423,14264158,874265
California,1991,15126481,13960003,1166478
California,1992,15304998,13880944,1424054
California,1993,15261199,13817032,1444167
California,1994,15256527,13944739,1311788
California,1995,15246014,14048225,1197789
California,1996,15422616,14300443,1122173
California,1997,15790063,14784636,1005427
California,1998,16144564,15184470,960094
California,1999,16416600,15555278,861322
California,2000,16867808,16033179,834629
