Date,Actual,Goal
1/1/2017,,
1/2/2017,,
1/3/2017,1500,7500
1/4/2017,3850,7125
1/5/2017,3540,6768
1/6/2017,2712,6429
1/7/2017,2511,6429
1/8/2017,1262,6107
1/9/2017,2099,5801
1/10/2017,2579,5510
1/11/2017,1572,5234
1/12/2017,1488,4972
1/13/2017,2677,4947
1/14/2017,1057,4922
1/15/2017,1552,4897
1/16/2017,2249,4872
1/17/2017,1180,4847
1/18/2017,1790,4822
1/19/2017,2156,4797
1/20/2017,2128,4773
1/21/2017,8531,4749
1/22/2017,1333,5033
1/23/2017,1580,4848
1/24/2017,2283,4823
1/25/2017,661,4798
1/26/2017,3373,4774
1/27/2017,2199,4750
1/28/2017,1307,4726
1/29/2017,2276,4702
1/30/2017,2011,4678
1/31/2017,1928,4654
2/1/2017,2003,4630
2/2/2017,3178,4606
2/3/2017,1763,4582
2/4/2017,3046,4559
2/5/2017,2120,4536
2/6/2017,4585,4513
2/7/2017,3767,4535
2/8/2017,2510,4512
2/9/2017,3116,4489
2/10/2017,2498,4466
2/11/2017,3692,4443
2/12/2017,3306,4420
2/13/2017,1297,4397
2/14/2017,2196,4375
2/15/2017,4167,4353
2/16/2017,3518,4331
2/17/2017,1894,4309
2/18/2017,3215,4287
2/19/2017,3421,4265
2/20/2017,3070,4243
2/21/2017,3549,4221
2/22/2017,2750,4199
2/23/2017,2379,4178
2/24/2017,351,4157
2/25/2017,9481,4157
2/26/2017,4538,4406
2/27/2017,2548,4439
2/28/2017,3152,4416
3/1/2017,2380,4393
3/2/2017,2033,4371
3/3/2017,1983,4349
3/4/2017,13,4327
3/5/2017,0,4327
3/6/2017,2735,4327
3/7/2017,2383,4305
3/8/2017,3053,4283
3/9/2017,4784,4261
3/10/2017,3795,4391
3/11/2017,433,4369
3/12/2017,469,4369
3/13/2017,1623,4347
3/14/2017,315,4325
3/15/2017,1861,4325
3/16/2017,2095,4303
3/17/2017,1362,4281
3/18/2017,2928,4259
3/19/2017,1897,4237
3/20/2017,2112,4215
3/21/2017,4625,4193
3/22/2017,2419,4301
3/23/2017,590,4279
3/24/2017,1015,4279
3/25/2017,2660,4257
3/26/2017,3005,4235
3/27/2017,3526,4213
3/28/2017,3773,4191
3/29/2017,2503,4170
3/30/2017,3481,4149
3/31/2017,2333,4128
4/1/2017,50,4107
4/2/2017,1240,4107
4/3/2017,3503,4086
